license_plate,acAvailable,standingCapacity,depotID,vehicle_label,id,seatingCapacity,vehicleType
GJ05BX8973,Yes,18,4027,H47,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8723,Yes,18,4027,H48,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8945,Yes,18,4027,H49,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8852,Yes,18,4027,H50,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX3022,No,18,2003,M02,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3038,No,18,2003,M03,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3043,No,18,2003,M04,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3007,No,18,2003,M01,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3048,No,18,2003,M06,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3044,No,18,2003,M05,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3051,No,18,2003,M07,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3105,No,18,2003,M09,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3119,No,18,2003,M10,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3127,No,18,2003,M11,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3136,No,18,2003,M13,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3143,No,18,2003,M14,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3162,No,18,2003,M15,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3174,No,18,2003,M16,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3192,No,18,2003,M18,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3204,No,18,2003,M20,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3056,No,18,2003,M08,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3132,No,18,2003,M12,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3191,No,18,2003,M17,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3201,No,18,2003,M19,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3209,No,18,2003,M21,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3219,No,18,2003,M23,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3216,No,18,2003,M22,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3222,No,18,2003,M24,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3224,No,18,2003,M26,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3225,No,18,2003,M27,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3258,No,18,2003,M31,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3259,No,18,2003,M32,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3265,No,18,2003,M36,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
