stop_id,id,stop_name,location.coordinates,location.type
2035,7ec3d577-2f35-48a0-8293-e343f1c63e15,PARVAT PATIYA JUNCTION BRTS,"[72.862451, 21.190039]",Point
2036,7ec3d577-2f35-48a0-8293-e343f1c63e15,MODEL TOWN JUNCTION BRTS,"[72.859053, 21.187798]",Point
1002,7ec3d577-2f35-48a0-8293-e343f1c63e15,GOLDEN POINT,"[72.842531, 21.199319]",Point
1003,7ec3d577-2f35-48a0-8293-e343f1c63e15,SAHARA DARWAJA,"[72.843773, 21.195304]",Point
1004,7ec3d577-2f35-48a0-8293-e343f1c63e15,TEXTILE MARKET,"[72.842311, 21.190972]",Point
1005,7ec3d577-2f35-48a0-8293-e343f1c63e15,KAMELA DARWAJA,"[72.839849, 21.188087]",Point
1006,7ec3d577-2f35-48a0-8293-e343f1c63e15,KINNARY CINEMA,"[72.83681, 21.185507]",Point
1007,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAAN DARWAJA,"[72.833031, 21.183651]",Point
1008,7ec3d577-2f35-48a0-8293-e343f1c63e15,SUB JAIL,"[72.827537, 21.182054]",Point
1009,7ec3d577-2f35-48a0-8293-e343f1c63e15,GANDHI COLLEGE,"[72.815653, 21.181594]",Point
1010,7ec3d577-2f35-48a0-8293-e343f1c63e15,NEW CIVIL HOSPITAL,"[72.821412, 21.180524]",Point
1011,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAJURA GATE,"[72.818134, 21.180563]",Point
1012,7ec3d577-2f35-48a0-8293-e343f1c63e15,SWAMINARAYAN CHOWK BRTS,"[72.803081, 21.194877]",Point
1013,7ec3d577-2f35-48a0-8293-e343f1c63e15,DHANMORA / ADAJAN PATIYA BRTS,"[72.806326, 21.197978]",Point
1015,7ec3d577-2f35-48a0-8293-e343f1c63e15,KATARGAM DARWAJA BRT,"[72.827728, 21.211373]",Point
1016,7ec3d577-2f35-48a0-8293-e343f1c63e15,GOTALAWADI,"[72.831348, 21.211243]",Point
1017,7ec3d577-2f35-48a0-8293-e343f1c63e15,KABIR MANDIR RAMPURA,"[72.833389, 21.209092]",Point
2743,7ec3d577-2f35-48a0-8293-e343f1c63e15,L.P SAVANI VIDHYABHAVAN,"[72.781917, 21.200858]",Point
2744,7ec3d577-2f35-48a0-8293-e343f1c63e15,EKTA NAGAR,"[72.782266, 21.204096]",Point
2745,7ec3d577-2f35-48a0-8293-e343f1c63e15,VIDHYAKUNJ,"[72.782575, 21.20777]",Point
2746,7ec3d577-2f35-48a0-8293-e343f1c63e15,HIDAYAT NAGAR POLICE STATION,"[72.782387, 21.210288]",Point
2747,7ec3d577-2f35-48a0-8293-e343f1c63e15,AMBEDKAR NAGAR,"[72.782419, 21.21443]",Point
2748,7ec3d577-2f35-48a0-8293-e343f1c63e15,VRUNDAVAN FLATS,"[72.78216, 21.215822]",Point
2749,7ec3d577-2f35-48a0-8293-e343f1c63e15,UGAT S.M.C. WATER TREATMENT PLANT,"[72.781077, 21.218783]",Point
4318,7ec3d577-2f35-48a0-8293-e343f1c63e15,BAPA SITARAM CHOWK YOGI NAGAR,"[72.894998, 21.218434]",Point
10,7ec3d577-2f35-48a0-8293-e343f1c63e15,RAILWAY STATION TERMINAL,"[72.840415, 21.204271]",Point
1001,7ec3d577-2f35-48a0-8293-e343f1c63e15,LINEAR BUS STOP,"[72.840139, 21.201664]",Point
2561,7ec3d577-2f35-48a0-8293-e343f1c63e15,UDHANA GIDC MAHATMA GANDHI ROAD,"[72.847917, 21.173595]",Point
2562,7ec3d577-2f35-48a0-8293-e343f1c63e15,L.N. PARK SOCIETY,"[72.847586, 21.174822]",Point
2563,7ec3d577-2f35-48a0-8293-e343f1c63e15,KHATODARA POLICE STATION,"[72.832016, 21.176181]",Point
2564,7ec3d577-2f35-48a0-8293-e343f1c63e15,KHATODARA WATER WORKS,"[72.829137, 21.174249]",Point
2565,7ec3d577-2f35-48a0-8293-e343f1c63e15,UDHANA RAILWAY STATION,"[72.850415, 21.171792]",Point
2601,7ec3d577-2f35-48a0-8293-e343f1c63e15,VANITA VISHRAM,"[72.809415, 21.18513]",Point
2602,7ec3d577-2f35-48a0-8293-e343f1c63e15,JAWAHARLAL NEHRU GARDEN,"[72.806663, 21.183899]",Point
2603,7ec3d577-2f35-48a0-8293-e343f1c63e15,POLICE COMMISSIONER OFFICE,"[72.803765, 21.182306]",Point
2604,7ec3d577-2f35-48a0-8293-e343f1c63e15,CITY CIVIC CENTRE,"[72.801423, 21.180388]",Point
2605,7ec3d577-2f35-48a0-8293-e343f1c63e15,SURAT DISTRICT COURT,"[72.798632, 21.178579]",Point
2606,7ec3d577-2f35-48a0-8293-e343f1c63e15,PARLE POINT,"[72.794619, 21.175052]",Point
2607,7ec3d577-2f35-48a0-8293-e343f1c63e15,JAANI FARSAAN,"[72.792611, 21.172604]",Point
2608,7ec3d577-2f35-48a0-8293-e343f1c63e15,SUSHRUT HOSPITAL,"[72.787579, 21.16948]",Point
2609,7ec3d577-2f35-48a0-8293-e343f1c63e15,ICCHANATH MAHADEV TEMPLE,"[72.786277, 21.168142]",Point
2610,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHRUNGAR SOCIETY CITY LIGHT ROAD,"[72.793559, 21.172504]",Point
2611,7ec3d577-2f35-48a0-8293-e343f1c63e15,SCIENCE CENTRE CITY LIGHT ROAD,"[72.795201, 21.169522]",Point
2612,7ec3d577-2f35-48a0-8293-e343f1c63e15,PREM PRAKRUTI CHOWK CITY LIGHT ROAD,"[72.795571, 21.167232]",Point
2613,7ec3d577-2f35-48a0-8293-e343f1c63e15,SIDDHARTH COM. JUNCTION CITY LIGHT ROAD,"[72.796493, 21.163187]",Point
2615,7ec3d577-2f35-48a0-8293-e343f1c63e15,PARLE POINT GHOD DOD ROAD,"[72.7949, 21.174079]",Point
2616,7ec3d577-2f35-48a0-8293-e343f1c63e15,GUJARATI SCHOOL GHOD DOD ROAD,"[72.798466, 21.174414]",Point
2617,7ec3d577-2f35-48a0-8293-e343f1c63e15,TRIBHUVAN COMPLEX GHOD DOD ROAD,"[72.80153, 21.1748]",Point
2618,7ec3d577-2f35-48a0-8293-e343f1c63e15,RANGEELA PARK GHOD DOD ROAD,"[72.804849, 21.175054]",Point
2619,7ec3d577-2f35-48a0-8293-e343f1c63e15,ST.XAVIER'S HIGH SCHOOL GHOD DOD ROAD,"[72.810183, 21.175716]",Point
2620,7ec3d577-2f35-48a0-8293-e343f1c63e15,KARIMABAD SOCIETY GHOD DOD ROAD,"[72.812167, 21.175785]",Point
2639,7ec3d577-2f35-48a0-8293-e343f1c63e15,CHANDRAMANI SOCIETY UDHANA MAGDALLA ROAD,"[72.79893, 21.160549]",Point
2640,7ec3d577-2f35-48a0-8293-e343f1c63e15,RUPALI CANAL JUNCTION BHATAR ROAD,"[72.815427, 21.16984]",Point
2641,7ec3d577-2f35-48a0-8293-e343f1c63e15,UMA BHAVAN BHATAR ROAD,"[72.814428, 21.167728]",Point
2642,7ec3d577-2f35-48a0-8293-e343f1c63e15,ATOP NAGAR BHATAR ROAD,"[72.813381, 21.165445]",Point
2643,7ec3d577-2f35-48a0-8293-e343f1c63e15,I.G DESAI SCHOOL ALTHAN ROAD,"[72.811495, 21.161524]",Point
2644,7ec3d577-2f35-48a0-8293-e343f1c63e15,ALTHAN TENAMENT,"[72.810355, 21.159731]",Point
2645,7ec3d577-2f35-48a0-8293-e343f1c63e15,KAPADIA WADI ALTHAN ROAD,"[72.809171, 21.155462]",Point
2646,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHAYONA PARK ALTHAN ROAD,"[72.808505, 21.153576]",Point
2647,7ec3d577-2f35-48a0-8293-e343f1c63e15,SOHAM CIRCLE,"[72.80696, 21.150943]",Point
2648,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAJURA GATE FIRE STATION,"[72.818234, 21.175789]",Point
2649,7ec3d577-2f35-48a0-8293-e343f1c63e15,IOC COLONY SUBHASH NAGAR,"[72.817176, 21.173511]",Point
2650,7ec3d577-2f35-48a0-8293-e343f1c63e15,RAJ EMPIRE MULTIPLEX,"[72.816335, 21.171619]",Point
2680,7ec3d577-2f35-48a0-8293-e343f1c63e15,UMRA FOOD PARK,"[72.784447, 21.168657]",Point
2684,7ec3d577-2f35-48a0-8293-e343f1c63e15,GIRIDHARDWAR SOC ALTHAN CANAL ROAD,"[72.803536, 21.159404]",Point
2685,7ec3d577-2f35-48a0-8293-e343f1c63e15,INDRALOK BUNGLOW ALTHAN CANAL ROAD,"[72.803765, 21.156916]",Point
2686,7ec3d577-2f35-48a0-8293-e343f1c63e15,CHINAGATE ROAD ALTHAN CANAL ROAD,"[72.804042, 21.154347]",Point
2687,7ec3d577-2f35-48a0-8293-e343f1c63e15,ALTHAN COMMUNITY HALL,"[72.805435, 21.152594]",Point
2688,7ec3d577-2f35-48a0-8293-e343f1c63e15,V.T CHOKSI COLLEGE,"[72.796495, 21.17665]",Point
2689,7ec3d577-2f35-48a0-8293-e343f1c63e15,SARGAM SHOPPING CENTRE,"[72.790721, 21.171504]",Point
2690,7ec3d577-2f35-48a0-8293-e343f1c63e15,SAROJINI NAIDU GARDEN,"[72.782146, 21.171602]",Point
2691,7ec3d577-2f35-48a0-8293-e343f1c63e15,UMRA HEALTH CENTRE,"[72.779688, 21.171952]",Point
2692,7ec3d577-2f35-48a0-8293-e343f1c63e15,MIRA NAGAR SOCIETY,"[72.811235, 21.174575]",Point
2693,7ec3d577-2f35-48a0-8293-e343f1c63e15,JAMNA NAGAR SOCIETY,"[72.811462, 21.172345]",Point
2694,7ec3d577-2f35-48a0-8293-e343f1c63e15,TRIMURTI APARTMENT,"[72.811667, 21.170111]",Point
2417,7ec3d577-2f35-48a0-8293-e343f1c63e15,SILICON FLATS PARVAT,"[72.868176, 21.177574]",Point
2419,7ec3d577-2f35-48a0-8293-e343f1c63e15,SANJAY NAGAR LIMBAYAT,"[72.86235, 21.172015]",Point
2420,7ec3d577-2f35-48a0-8293-e343f1c63e15,SAHAJANAND SOCIETY LIMBAYAT,"[72.865272, 21.17479]",Point
2421,7ec3d577-2f35-48a0-8293-e343f1c63e15,GODADRA CANAL JUNCTION,"[72.869213, 21.175016]",Point
2422,7ec3d577-2f35-48a0-8293-e343f1c63e15,JANTA NAGAR ROAD,"[72.855789, 21.165286]",Point
2437,7ec3d577-2f35-48a0-8293-e343f1c63e15,MANGAL PANDEY HALL GODADARA,"[72.870658, 21.166307]",Point
2438,7ec3d577-2f35-48a0-8293-e343f1c63e15,JIGNESHNAGAR GODADARA,"[72.87066, 21.165409]",Point
2439,7ec3d577-2f35-48a0-8293-e343f1c63e15,DUMBHAL FIRE STATION,"[72.861545, 21.184353]",Point
2440,7ec3d577-2f35-48a0-8293-e343f1c63e15,NARAYAN INDUSTRIES LIMBAYAT,"[72.861271, 21.179808]",Point
2443,7ec3d577-2f35-48a0-8293-e343f1c63e15,S.M.C. SANKUL,"[72.8581, 21.1608]",Point
2441,7ec3d577-2f35-48a0-8293-e343f1c63e15,NAGESHWAR TEMPLE,"[72.861606, 21.175757]",Point
2444,7ec3d577-2f35-48a0-8293-e343f1c63e15,UMIYA NAGAR,"[72.8608, 21.1592]",Point
2445,7ec3d577-2f35-48a0-8293-e343f1c63e15,LAXMINAGAR SOCIETY,"[72.868506, 21.154829]",Point
2451,7ec3d577-2f35-48a0-8293-e343f1c63e15,HALPATI COLONY,"[72.839003, 21.18391]",Point
2452,7ec3d577-2f35-48a0-8293-e343f1c63e15,BHATHENA CANAL JUNCTION,"[72.841079, 21.181955]",Point
